Unnamed: 0,Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL,Condition
26282,SUV,Honda,Vezel X,2023.0,16550000.0,13000.0,Dehiwala-Mount-Lavinia,1/12/2026,https://riyasewana.com/buy/honda-vezel-x-sale-dehiwala-mount-lavinia-11036809,Recondition
26284,SUV,Honda,Vezel Z Premium,2023.0,17625000.0,36600.0,Wennappuwa,1/12/2026,https://riyasewana.com/buy/honda-vezel-z-sale-wennappuwa-11036539,Recondition
26288,SUV,Honda,VEZEL Z-PLAY,2025.0,18950000.0,287.0,Colombo,1/12/2026,https://riyasewana.com/buy/honda-vezel-z-play-sale-colombo-11036394,Brand New
26289,SUV,Daihatsu,Rocky Premium G,2023.0,12500000.0,29000.0,Kalutara,1/12/2026,https://riyasewana.com/buy/daihatsu-rocky-premium-sale-kalutara-11036391,Recondition
26296,SUV,Honda,Vezel Premium Plus,2025.0,19200000.0,13.0,Piliyandala,1/12/2026,https://riyasewana.com/buy/honda-vezel-premium-sale-piliyandala-11035900,Brand New
26303,SUV,Toyota,Raize G Turbo,2024.0,12200000.0,8000.0,Ragama,1/12/2026,https://riyasewana.com/buy/toyota-raize-g-sale-ragama-11035047,Recondition
26304,SUV,Toyota,Raize X Turbo,2024.0,11500000.0,13000.0,Ragama,1/12/2026,https://riyasewana.com/buy/toyota-raize-x-sale-ragama-11035023,Recondition
26308,SUV,Daihatsu,Rocky G Premium,2023.0,12500000.0,12000.0,Kandy,1/12/2026,https://riyasewana.com/buy/daihatsu-rocky-g-sale-kandy-11034517,Recondition
26309,SUV,Honda,Vezel,2024.0,17600000.0,3000.0,Colombo,1/12/2026,https://riyasewana.com/buy/honda-vezel-sale-colombo-11034305,Brand New
26344,SUV,Toyota,Raize,2024.0,13200000.0,21000.0,Kandy,1/11/2026,https://riyasewana.com/buy/toyota-raize-sale-kandy-11031530,Recondition
