Make,Model,Year,Average_Price_LKR,Average_Mileage_km,Listings_Count,Predicted_Next_Week_LKR,Predicted_Next_Month_LKR
DAIHATSU,ROCKY,2025,13415000,7052,3,15210110,15210110
DAIHATSU,ROKY,2023,11650000,180004,1,15352145,15352145
DAIHATSU,S200,2000,3012500,152500,2,3388364,3462900
DAIHATSU,S200,2001,3150000,153000,1,3339992,3339992
DAIHATSU,S200,2002,2900000,155366,2,2564268,2509075
DAIHATSU,S200V,2002,3150000,140,1,3224419,3224419
DAIHATSU,S210V,1999,3225000,172500,2,3638033,3638033
DAIHATSU,S230V,2005,4100000,160000,1,4483456,4483456
DAIHATSU,S320,2007,4400000,159000,1,4860895,4860895
DAIHATSU,S320V,2007,3950000,145000,1,4130146,4130146
DAIHATSU,TAFT,2023,7779000,15417,30,7721197,7721197
DAIHATSU,TAFT,2024,8134722,3982,36,7703723,7703723
DAIHATSU,TAFT,2025,8321333,2987,15,7703723,7703723
DAIHATSU,TAFT-G,2024,8300000,8980,1,7400917,7400917
DAIHATSU,TANTO,2016,7050000,32000,1,7086614,7086614
DAIHATSU,TANTO,2017,5650000,102000,2,6405164,6674151
DAIHATSU,TANTO,2022,8850000,4800,1,7703723,7703723
DAIHATSU,TANTO,2023,8110000,10230,9,7670840,7670840
DAIHATSU,TANTO,2024,8166000,6563,5,7160817,7160817
DAIHATSU,TANTO,2025,8083333,1500,3,7703723,7703723
DAIHATSU,TERIOS,1997,3150000,172000,1,3652286,3652286
DAIHATSU,TERIOS,1999,4200000,150000,1,4436008,4436008
DAIHATSU,TERIOS,2000,4150000,105060,2,4645786,4645786
DAIHATSU,TERIOS,2001,3585000,127200,1,3849837,3849837
DAIHATSU,TERIOS,2002,4850000,185000,1,5350595,5547034
DAIHATSU,TERIOS,2004,4250000,114000,1,4509988,4509988
DAIHATSU,TERIOS,2005,4975000,170000,1,5439476,5639178
DAIHATSU,TERIOS,2006,5875000,196000,1,6404242,6404242
DAIHATSU,TERIOS,2007,5824400,157800,10,6892828,6892828
DAIHATSU,TERIOS,2008,7050000,152000,3,6842331,6842331
DAIHATSU,TERIOS,2010,7745000,93000,2,7721279,7721279
DAIHATSU,TERIOS,2011,7621429,133429,7,7369111,7369111
DAIHATSU,TERIOS,2012,7500000,130000,1,7406654,7406654
DAIHATSU,TERIOS,2014,7966667,105967,3,8011300,8011300
DAIHATSU,THOR,2017,7500000,68000,1,7409385,7409385
DAIHATSU,THOR,2023,9385000,9100,5,7778014,7778014
DAIHATSU,THOR,2024,10591667,4433,3,9002917,7778014
DAIHATSU,YRV,2002,3575000,165687,1,3720319,3720319
DAIHATSU,ZEBRA,1999,1750000,60000,1,1712607,1712607
DATSUN,510,1969,1400000,123456,1,1421354,1421354
DATSUN,510,1970,1175000,111,1,1421354,1421354
DATSUN,B211,1978,850000,1,1,1062500,1421354
DATSUN,HB11,1985,995000,220534,1,1393000,1472300
DATSUN,HB310,1980,1225000,220000,1,1421354,1421354
DATSUN,REDI-GO,2016,2898846,92056,13,3730683,3730683
DATSUN,REDI-GO,2017,3485833,89280,6,3867968,3867968
