Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,KAWASAKI,KLX 230,INDONESIA,PETROL,232.0,KANDY,RECONDITIONED,1,,KLX 230
CAR,NISSAN,5AA-B44A ROOX,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,1,5AA-B44A,ROOX
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,157.0,COLOMBO,RECONDITIONED,3,,ADV160
LAND VEHICLE (SMALL),KUBOTA,K600A,JAPAN,DIESEL,422.0,KURUNEGALA,RECONDITIONED,1,,K600A
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX ROCCO,THAILAND,DIESEL,2755.0,KURUNEGALA,RECONDITIONED,1,,HILUX ROCCO
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,JAFFNA,RECONDITIONED,7,5BA-KSP210,YARIS
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,KURUNEGALA,RECONDITIONED,2,3BA-TRJ150W,PRADO
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,ANURADHAPURA,RECONDITIONED,2,,CITY RS
CAR,TOYOTA,5BA-MZEA17 COROLLA,JAPAN,PETROL,1490.0,JAFFNA,RECONDITIONED,2,5BA-MZEA17,COROLLA
CAR,SUZUKI,5AA-MK53S,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,5AA-MK53S,SPACIA
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,COLOMBO,RECONDITIONED,15,,CITY RS
MOTOR CYCLE,HONDA,PCX125,JAPAN,PETROL,125.0,KALUTARA,RECONDITIONED,1,,PCX125
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,BATTICALOA,RECONDITIONED,1,5AA-A202A,RAIZE
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX GR SPORT,THAILAND,DIESEL,2755.0,GALLE,RECONDITIONED,2,,HILUX GR SPORT
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,KEGALLE,RECONDITIONED,5,5BA-M900A,ROOMY
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,650.0,KURUNEGALA,RECONDITIONED,2,3BA-HA37S,ALTO
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,4,5BA-MH85S,WAGON R
CAR,TOYOTA,3BA-NGX10  C-HR,JAPAN,PETROL,1196.0,MATARA,RECONDITIONED,1,3BA-NGX10,C-HR
CAR,MERCEDES BENZ,EQB250 AMG LINE,GERMANY,ELECTRIC,140.0,COLOMBO,RECONDITIONED,1,,EQB250 AMG LINE
