Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,HONDA,6BA-JF3 N BOX CUSTOM,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,1,6BA-JF3,N BOX CUSTOM
CAR,SUZUKI,3BD-DA17V EVERY,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,8,3BD-DA17V,EVERY
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,9,5BD-DA17V,EVERY
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,KALUTARA,RECONDITIONED,1,6AA-ZWR90W,VOXY
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX 2.8 GR.SAT 4X4,MALAYSIA,DIESEL,2755.0,COLOMBO,RECONDITIONED,1,,HILUX 2.8 GR.SAT 4X4
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,BADULLA,RECONDITIONED,2,5BA-M900A,ROOMY
CAR,SUZUKI,5AA-ZCEDS SWIFT,JAPAN,PETROL/ELE,1196.0,COLOMBO,RECONDITIONED,1,5AA-ZCEDS,SWIFT
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2693.0,COLOMBO,RECONDITIONED,38,3BA-TRJ250W,PRADO250
CAR,SUZUKI,3BD-DA17V EVERY,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,5,3BD-DA17V,EVERY
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,GAMPAHA,RECONDITIONED,5,3BA-TRJ150W,Unknown
CAR,MITSUBISHI,ECLIPSE CROSS EXCEED,AUSTRALIA,PETROL,1499.0,KALUTARA,RECONDITIONED,1,,ECLIPSE CROSS EXCEED
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,4,5BA-LA350S,MIRA ES
