Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,BADULLA,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,4,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,COLOMBO,RECONDITIONED,18,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL,1490.0,COLOMBO,RECONDITIONED,2,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,GALLE,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,3,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,GAMPAHA,RECONDITIONED,6,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,7,6AA-MXPJ10,YARIS
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,HAMBANTOTA,RECONDITIONED,1,6AA-MXPJ10,YARIS
SINGLE CAB,TOYOTA,HILUX-CHAMP,THAILAND,DIESEL,2393.0,POLONNARUWA,RECONDITIONED,1,HILUX-CHAMP,Unknown
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,AMPARA,LOCALLY BUILT,1,,LOW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,HAMBANTOTA,LOCALLY BUILT,1,,LOW BED TRAILER
