Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,BYD,ATTO-3-SUPERIOR,CHINA,ELECTRIC,100.0,MATARA,BRAND NEW,2025.0,15,ATTO-3-SUPERIOR,Unknown
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,650.0,GAMPAHA,RECONDITIONED,2025.0,1,3BA-DA17W,EVERY
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,ANURADHAPURA,BRAND NEW,2025.0,3,ATTO3-ADVANCED,Unknown
CAR,KIA,SONET,INDIA,PETROL,998.0,KURUNEGALA,BRAND NEW,2025.0,3,,SONET
CAR,TOYOTA,6AA-MXPJ10  YARIS,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2023.0,1,6AA-MXPJ10,YARIS
CAR,KIA,SONET,INDIA,PETROL,998.0,GALLE,BRAND NEW,2025.0,3,,SONET
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2024.0,61,6AA-RV5,VEZEL
CAR,TOYOTA,5BA-A201A,JAPAN,PETROL,1196.0,MATARA,RECONDITIONED,2022.0,1,5BA-A201A,RAICE
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,2023.0,15,5BA-M900A,ROOMY
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,RATNAPURA,RECONDITIONED,2024.0,3,3BA-A210A,RAIZE
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,COLOMBO,BRAND NEW,2025.0,190,ATTO3-ADVANCED,Unknown
CAR,TOYOTA,4BA-M900A  ROOMY,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,2025.0,1,4BA-M900A,ROOMY
CAR,HONDA,6AA-RV5  VEZEL,JAPAN,PETROL/ELE,1496.0,RATNAPURA,RECONDITIONED,2025.0,1,6AA-RV5,VEZEL
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,GAMPAHA,BRAND NEW,2025.0,122,ATTO3-ADVANCED,Unknown
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,ANURADHAPURA,RECONDITIONED,2023.0,3,5BA-MH85S,WAGON R
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,GAMPAHA,RECONDITIONED,2025.0,4,6AA-MXPJ10,YARIS
CAR,BYD,DOLPHIN-DYNAMIC49,CHINA,ELECTRIC,49.0,GAMPAHA,BRAND NEW,2025.0,1,,DOLPHIN-DYNAMIC49
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,998.0,COLOMBO,RECONDITIONED,2025.0,3,3BA-A210A,RAIZE
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,2024.0,8,3BA-A210A,RAIZE
