Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,SUZUKI,BURGMAN,INDIA,PETROL,125.0,MATALE,BOUGHT FROM AUCTION,1,,BURGMAN
MOTOR LORRY (COMMERCIAL),J M C,JX1044TC2R,SRI LANKA,DIESEL,2771.0,GAMPAHA,LOCALLY BUILT,2,,JX1044TC2R
MOTOR CYCLE,ATHER,450X,INDIA,ELECTRIC,3.0,COLOMBO,BRAND NEW,5,,450X
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,MONERAGALA,BRAND NEW,4,,ZS
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,AMPARA,BRAND NEW,3,,ZS
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,HAMBANTOTA,BRAND NEW,140,,T5
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,KALUTARA,BRAND NEW,6,,EPOC H
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,AMPARA,BRAND NEW,22,,T5
LAND VEHICLE,KUBOTA,L3408,JAPAN,DIESEL,1647.0,TRINCOMALEE,BRAND NEW,1,,L3408
CAR,TOYOTA,LAND CRUISER,U.S.A,DIESEL,5700.0,COLOMBO,BRAND NEW,1,,LAND CRUISER
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,9,,T 9
MOTOR CYCLE,NWOW,SE,CHINA,ELECTRIC,0.8,GAMPAHA,BRAND NEW,26,,SE
MOTOR CYCLE,WUYANG HONDA,WH150-3,CHINA,PETROL,150.0,JAFFNA,BRAND NEW,1,WH150-3,Unknown
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,HAMBANTOTA,BRAND NEW,7,MKK-Z23E-12-C,Unknown
COMMERCIAL,LANKA ASHOK LEYLAND,VIKING,INDIA,DIESEL,6014.0,KALUTARA,BRAND NEW,4,,VIKING
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,BADULLA,BRAND NEW,4,,EPOC H
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,GAMPAHA,BRAND NEW,4,,EPOC H
MOTOR CYCLE,TVS,IQUBE,INDIA,ELECTRIC,3.34,RATNAPURA,BRAND NEW,6,,IQUBE
MOTOR CYCLE,NWOW,SE,CHINA,ELECTRIC,0.8,PUTTALAM,BRAND NEW,2,,SE
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,POLONNARUWA,BRAND NEW,5,MKK-Z23E-12-C,Unknown
LAND VEHICLE (SMALL),NEW LION,RK 80,THAILAND,DIESEL,443.0,MATALE,BRAND NEW,1,,RK 80
MOTOR CYCLE,OPAI,YW-06,CHINA,ELECTRIC,2.0,MONERAGALA,BRAND NEW,1,YW-06,Unknown
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,RATNAPURA,BRAND NEW,3,,T 9
PRIMER MOVER,TATA,SIGNA 4018,INDIA,DIESEL,5883.0,KALUTARA,BRAND NEW,1,,SIGNA 4018
COMMERCIAL,HIGER,KLQ6952KQ,CHINA,DIESEL,6500.0,COLOMBO,BRAND NEW,1,,KLQ6952KQ
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,156.0,MATARA,RECONDITIONED,1,,PCX
SPECIAL PURPOSE VEHICLE,J.C.B,3CX,UNITED KINGDOM,DIESEL,4400.0,COLOMBO,RECONDITIONED,1,,3CX
MOTOR CYCLE,HONDA,8BJ-JK05,JAPAN,PETROL,124.0,PUTTALAM,RECONDITIONED,1,8BJ-JK05,Unknown
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,157.0,MATALE,RECONDITIONED,1,,PCX 160
CAR,TOYOTA,5BA-M700A,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,1,5BA-M700A,Unknown
LAND VEHICLE,MASSEY FERGUSON,135,GERMANY,DIESEL,2502.0,JAFFNA,RECONDITIONED,1,,135
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,PUTTALAM,RECONDITIONED,5,,PCX
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,KEGALLE,RECONDITIONED,1,,PCX 125
LAND VEHICLE (SMALL),KUBOTA,K550A,JAPAN,DIESEL,375.0,JAFFNA,RECONDITIONED,1,,K550A
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,COLOMBO,RECONDITIONED,1,,PCX 125
CAR,HONDA,DBA-JH1 N WGN,JAPAN,PETROL,650.0,KANDY,RECONDITIONED,1,DBA-JH1,N WGN
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,TRINCOMALEE,RECONDITIONED,1,,PCX 160
CAR,MG,MG4V,THAILAND,ELECTRIC,125.0,COLOMBO,RECONDITIONED,1,,MG4V
CAR,BYD,ATTO 3,THAILAND,ELECTRIC,150.0,COLOMBO,RECONDITIONED,2,,ATTO 3
LAND VEHICLE,KUBOTA,L1-185,JAPAN,DIESEL,1299.0,MATALE,RECONDITIONED,1,L1-185,Unknown
CAR,TESLA,ZAA-3L13T,CHINA,ELECTRIC,194.0,COLOMBO,RECONDITIONED,1,ZAA-3L13T,Unknown
LAND VEHICLE (SMALL),KUBOTA,K550,JAPAN,DIESEL,375.0,GAMPAHA,RECONDITIONED,1,,K550
CAR,B.M.W.,ZAA-32FK45-25,GERMANY,ELECTRIC,250.0,COLOMBO,RECONDITIONED,1,ZAA-32FK45-25,Unknown
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,GAMPAHA,BRAND NEW-L/MANUFACT,9,,LEADER R80
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,MATARA,BRAND NEW-L/MANUFACT,10,,LEADER R80
MOTOR CYCLE,RISE,LEADER,SRI LANKA,ELECTRIC,2.0,MONERAGALA,BRAND NEW-L/MANUFACT,1,,LEADER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,JAFFNA,LOCALLY BUILT,22,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MULLATIVU,LOCALLY BUILT,16,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,KILINOCHCHI,LOCALLY BUILT,15,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,AMPARA,LOCALLY BUILT,8,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MANNAR,LOCALLY BUILT,9,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRAILER BOWSER,SRI LANKA,NOT STATED,0.0,BADULLA,LOCALLY BUILT,1,,TRAILER BOWSER
TRACTOR TRAILER/BOWSER,SACHINTHA,TRAILER BOWSER,SRI LANKA,NOT STATED,0.0,ANURADHAPURA,LOCALLY BUILT,1,,TRAILER BOWSER
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,MATARA,BOUGHT FROM AUCTION,1,,APE XTRA LD
MOTOR CYCLE,SUZUKI,BURGMAN,INDIA,PETROL,125.0,GAMPAHA,BOUGHT FROM AUCTION,1,,BURGMAN
MOTOR CYCLE,ATHER,450X,INDIA,ELECTRIC,3.0,RATNAPURA,BRAND NEW,2,,450X
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,KURUNEGALA,BRAND NEW,13,,ZS
MOTOR CYCLE,QUANLE,Q1,CHINA,ELECTRIC,1.2,AMPARA,BRAND NEW,1,,Q1
MOTOR CYCLE,QUANLE,XGW,CHINA,ELECTRIC,1.2,KURUNEGALA,BRAND NEW,6,,XGW
MOTOR CYCLE,QUANLE,Q1,CHINA,ELECTRIC,1.2,KURUNEGALA,BRAND NEW,5,,Q1
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,MONERAGALA,BRAND NEW,26,,T5
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,JAFFNA,BRAND NEW,22,,T5
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,POLONNARUWA,BRAND NEW,60,,T5
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,ANURADHAPURA,BRAND NEW,7,,EPOC H
MOTOR CYCLE,NWOW,TK 10,CHINA,ELECTRIC,0.8,PUTTALAM,BRAND NEW,1,,TK 10
MOTOR CYCLE,NWOW,ARS,CHINA,ELECTRIC,0.45,KALUTARA,BRAND NEW,3,,ARS
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,MONERAGALA,BRAND NEW,3,,EPOC H
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,5,,EPOC H
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,5,,T 9
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,AMPARA,BRAND NEW,1,,T 9
COMMERCIAL,LANKA ASHOK LEYLAND,VIKING,INDIA,DIESEL,6014.0,COLOMBO,BRAND NEW,4,,VIKING
MOTOR CYCLE,LUYUAN,M-MHH-Z45LJ,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,2,,M-MHH-Z45LJ
MOTOR LORRY (COMMERCIAL),ISUZU,FTR34UU-PDN,JAPAN,DIESEL,7790.0,GAMPAHA,BRAND NEW,1,,FTR34UU-PDN
LAND VEHICLE (SMALL),VIKYNO,RV125-2,VIETNAM,DIESEL,624.0,HAMBANTOTA,BRAND NEW,5,RV125-2,Unknown
MOTOR CYCLE,NWOW,EDB,CHINA,ELECTRIC,0.35,COLOMBO,BRAND NEW,1,,EDB
