Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,ATHER,450X,INDIA,ELECTRIC,3.0,COLOMBO,BRAND NEW,4,,450X
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,POLONNARUWA,BRAND NEW,4,MKK-Z23E-12-C,Unknown
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,GAMPAHA,BRAND NEW,3,,EPOC H
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,BADULLA,BRAND NEW,4,,EPOC H
LAND VEHICLE (SMALL),VIKYNO,RV125-2,VIETNAM,DIESEL,624.0,MATALE,BRAND NEW,4,RV125-2,Unknown
LAND VEHICLE (SMALL),VIKYNO,RV125-2,VIETNAM,DIESEL,624.0,BADULLA,BRAND NEW,4,RV125-2,Unknown
LAND VEHICLE,JOHN DEERE,5047D,INDIA,DIESEL,2940.0,MANNAR,BRAND NEW,2,,5047D
LAND VEHICLE (SMALL),VIKYNO,RV125-2,VIETNAM,DIESEL,624.0,RATNAPURA,BRAND NEW,1,RV125-2,Unknown
MOTOR CYCLE,LIMA,JV 1.5G,CHINA,ELECTRIC,1.5,KURUNEGALA,BRAND NEW,1,,JV 1.5G
COMMERCIAL,TOYOTA,XZB70R-ZGMSY COASTER,JAPAN,DIESEL,4009.0,COLOMBO,BRAND NEW,1,,XZB70R-ZGMSY COASTER
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,GAMPAHA,BRAND NEW,1,MKK-Z23E-12-C,Unknown
MOTOR CYCLE,VMOTO,CITI,CHINA,ELECTRIC,2.0,MATARA,BRAND NEW,1,,CITI
MOTOR CYCLE,YADEA,RUIBIN,CHINA,ELECTRIC,0.8,GALLE,BRAND NEW,1,,RUIBIN
SPECIAL PURPOSE VEHICLE,TOYOTA,62-8FDN30,JAPAN,DIESEL,2500.0,COLOMBO,RECONDITIONED,1,62-8FDN30,Unknown
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,PUTTALAM,RECONDITIONED,3,,PCX
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,KURUNEGALA,RECONDITIONED,1,,PCX
LAND VEHICLE,MASSEY FERGUSON,MF135,JAPAN,DIESEL,2500.0,MULLATIVU,RECONDITIONED,1,,MF135
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,1,,PCX
SINGLE CAB,DAIHATSU,EBD-S500P,JAPAN,PETROL,650.0,COLOMBO,RECONDITIONED,1,EBD-S500P,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,SKG-FRR90S2,JAPAN,DIESEL,5190.0,JAFFNA,RECONDITIONED,1,SKG-FRR90S2,Unknown
LAND VEHICLE (SMALL),KUBOTA,K550A,JAPAN,DIESEL,375.0,JAFFNA,RECONDITIONED,1,,K550A
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,TRINCOMALEE,RECONDITIONED,1,,PCX 160
