Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Source,Full_Text,Price_Numeric
Suzuki A-Star Zxi 2012 Car,"Rs. 4,150,000",2012,,,,,https://riyasewana.com/buy/suzuki-a-star-zxi-sale-ratnapura-10894358,4,li,"Suzuki A-Star Zxi 2012 Car Ratnapura Rs. 4,150,000 2025-12-14",4150000
Toyota Vitz 2008 Car,"Rs. 5,700,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-kurunegala-10894355,4,li,"Toyota Vitz 2008 Car Kurunegala Rs. 5,700,000 135000 (km) 2025-12-14",5700000
Nissan FB15New Shell 2003 Car,"Rs. 4,675,000",2003,,,,,https://riyasewana.com/buy/nissan-fb15new-shell-sale-kandy-10894352,4,li,"Nissan FB15New Shell 2003 Car Kandy Rs. 4,675,000 230000 (km) 2025-12-14",4675000
Toyota VITZ KSP90 2008 Car,"Rs. 5,650,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kadawatha-10894349,4,li,"Toyota VITZ KSP90 2008 Car Kadawatha Rs. 5,650,000 154312 (km) 2025-12-14",5650000
Suzuki Alto Japan 2015 Car,,2015,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-polonnaruwa-10894345,4,li,Suzuki Alto Japan 2015 Car Polonnaruwa Negotiable 105000 (km) 2025-12-14,0
Suzuki Swift 2011 Car,"Rs. 6,200,000",2011,,,,,https://riyasewana.com/buy/suzuki-swift-sale-moneragala-10894341,4,li,"Suzuki Swift 2011 Car Moneragala Rs. 6,200,000 144000 (km) 2025-12-14",6200000
Toyota Prius S Touring My Coordinatio 2014 Car,"Rs. 11,340,000",2014,,,,,https://riyasewana.com/buy/toyota-prius-s-sale-malabe-10894337,4,li,"Toyota Prius S Touring My Coordinatio 2014 Car Malabe Rs. 11,340,000 197500 (km) 2025-12-14",11340000
Nissan FB15 Ex Saloon 2003 Car,,2003,,,,,https://riyasewana.com/buy/nissan-fb15-ex-sale-anuradapura-10894335,4,li,Nissan FB15 Ex Saloon 2003 Car Anuradapura Negotiable 249610 (km) 2025-12-14,0
Suzuki Wagon R Fx 2018 Car,"Rs. 5,995,000",2018,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10894333,4,li,"Suzuki Wagon R Fx 2018 Car Kadawatha Rs. 5,995,000 80000 (km) 2025-12-14",5995000
Suzuki WAGON R STINGRAY J STYLE 2015 Car,"Rs. 6,150,000",2015,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10894332,4,li,"Suzuki WAGON R STINGRAY J STYLE 2015 Car Kadawatha Rs. 6,150,000 87000 (km) 2025-12-14",6150000
Daihatsu ROCKY 2024 Car,"Rs. 11,950,000",2024,,,,,https://riyasewana.com/buy/daihatsu-rocky-sale-malabe-10894331,4,li,"Daihatsu ROCKY 2024 Car Malabe Rs. 11,950,000 6950 (km) 2025-12-14",11950000
Toyota Allion 260 2008 Car,"Rs. 8,950,000",2008,,,,,https://riyasewana.com/buy/toyota-allion-260-sale-veyangoda-10894330,4,li,"Toyota Allion 260 2008 Car Veyangoda Rs. 8,950,000 175000 (km) 2025-12-14",8950000
Toyota VITZ 2008 Car,"Rs. 6,090,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-malabe-10894328,4,li,"Toyota VITZ 2008 Car Malabe Rs. 6,090,000 107450 (km) 2025-12-14",6090000
Suzuki Alto 2015 Car,"Rs. 4,000,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-galle-10894323,4,li,"Suzuki Alto 2015 Car Galle Rs. 4,000,000 80000 (km) 2025-12-14",4000000
Renault KWID 2016 Car,"Rs. 3,590,000",2016,,,,,https://riyasewana.com/buy/renault-kwid-sale-malabe-10894319,4,li,"Renault KWID 2016 Car Malabe Rs. 3,590,000 71490 (km) 2025-12-14",3590000
Suzuki SWIFT 2004 Car,"Rs. 4,250,000",2004,,,,,https://riyasewana.com/buy/suzuki-swift-sale-kurunegala-10894316,4,li,"Suzuki SWIFT 2004 Car Kurunegala Rs. 4,250,000 135000 (km) 2025-12-14",4250000
Perodua VIVA ELITE 2012 Car,"Rs. 4,200,000",2012,,,,,https://riyasewana.com/buy/perodua-viva-elite-sale-boralesgamuwa-10894313,4,li,"Perodua VIVA ELITE 2012 Car Boralesgamuwa Rs. 4,200,000 184000 (km) 2025-12-14",4200000
Suzuki Wagon R 2017 Car,"Rs. 5,975,000",2017,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-koggala-10894311,4,li,"Suzuki Wagon R 2017 Car Koggala Rs. 5,975,000 74000 (km) 2025-12-14",5975000
Micro Panda LC 1.0 2012 Car,"Rs. 2,590,000",2012,,,,,https://riyasewana.com/buy/micro-panda-lc-sale-malabe-10894309,4,li,"Micro Panda LC 1.0 2012 Car Malabe Rs. 2,590,000 97450 (km) 2025-12-14",2590000
Daewoo Matiz 2002 Car,"Rs. 1,690,000",2002,,,,,https://riyasewana.com/buy/daewoo-matiz-sale-malabe-10894306,4,li,"Daewoo Matiz 2002 Car Malabe Rs. 1,690,000 1340000 (km) 2025-12-14",1690000
Suzuki Swift 2008 Car,"Rs. 5,800,000",2008,,,,,https://riyasewana.com/buy/suzuki-swift-sale-dehiwala-mount-lavinia-10894299,4,li,"Suzuki Swift 2008 Car Dehiwala-Mount-Lavinia Rs. 5,800,000 117000 (km) 2025-12-14",5800000
Suzuki Wagon R 2014 Car,"Rs. 5,485,000",2014,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-moratuwa-10894297,4,li,"Suzuki Wagon R 2014 Car Moratuwa Rs. 5,485,000 74935 (km) 2025-12-14",5485000
Suzuki Wagon R 2017 Car,"Rs. 6,250,000",2017,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-embilipitiya-10894293,4,li,"Suzuki Wagon R 2017 Car Embilipitiya Rs. 6,250,000 91000 (km) 2025-12-14",6250000
Toyota PASSO 2020 Car,"Rs. 6,550,000",2020,,,,,https://riyasewana.com/buy/toyota-passo-sale-moneragala-10894287,4,li,"Toyota PASSO 2020 Car Moneragala Rs. 6,550,000 78000 (km) 2025-12-14",6550000
Micro Panda 2014 Car,,2014,,,,,https://riyasewana.com/buy/micro-panda-sale-colombo-10894286,4,li,Micro Panda 2014 Car Colombo Negotiable 97382 (km) 2025-12-14,0
Toyota Vitz 2008 Car,,2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-colombo-10894285,4,li,Toyota Vitz 2008 Car Colombo Negotiable 2025-12-14,0
Toyota COROLLA AE110 1996 Car,"Rs. 3,390,000",1996,,,,,https://riyasewana.com/buy/toyota-corolla-ae110-sale-malabe-10894282,4,li,"Toyota COROLLA AE110 1996 Car Malabe Rs. 3,390,000 187450 (km) 2025-12-14",3390000
Toyota Corsa Tercel 1997 Car,,1997,,,,,https://riyasewana.com/buy/toyota-corsa-tercel-sale-kandy-10894277,4,li,Toyota Corsa Tercel 1997 Car Kandy Negotiable 2025-12-14,0
Micro X25 2018 Car,"Rs. 2,200,000",2018,,,,,https://riyasewana.com/buy/micro-x25-sale-gampaha-10894270,4,li,"Micro X25 2018 Car Gampaha Rs. 2,200,000 81230 (km) 2025-12-14",2200000
Toyota Yaris X Grade 2023 Car,"Rs. 9,090,000",2023,,,,,https://riyasewana.com/buy/toyota-yaris-x-sale-piliyandala-10894269,4,li,"Toyota Yaris X Grade 2023 Car Piliyandala Rs. 9,090,000 7100 (km) 2025-12-14",9090000
Suzuki Alto 2015 Car,"Rs. 3,745,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-horana-10894267,4,li,"Suzuki Alto 2015 Car Horana Rs. 3,745,000 117000 (km) 2025-12-14",3745000
Daihatsu MIRA SAFETY 2023 Car,"Rs. 6,600,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-safety-sale-boralesgamuwa-10894257,4,li,"Daihatsu MIRA SAFETY 2023 Car Boralesgamuwa Rs. 6,600,000 9000 (km) 2025-12-14",6600000
Honda Grace EX 2014 Car,"Rs. 9,250,000",2014,,,,,https://riyasewana.com/buy/honda-grace-ex-sale-kandy-10894253,4,li,"Honda Grace EX 2014 Car Kandy Rs. 9,250,000 100000 (km) 2025-12-14",9250000
Chevrolet Beat 2011 Car,"Rs. 3,100,000",2011,,,,,https://riyasewana.com/buy/chevrolet-beat-sale-ja-ela-10894249,4,li,"Chevrolet Beat 2011 Car Ja-Ela Rs. 3,100,000 96000 (km) 2025-12-14",3100000
Honda INSIGHT ZE2 2011 Car,"Rs. 7,550,000",2011,,,,,https://riyasewana.com/buy/honda-insight-ze2-sale-matara-10894243,4,li,"Honda INSIGHT ZE2 2011 Car Matara Rs. 7,550,000 142000 (km) 2025-12-14",7550000
Datsun Redi-GO 2017 Car,"Rs. 3,490,000",2017,,,,,https://riyasewana.com/buy/datsun-redi-go-sale-malabe-10894233,4,li,"Datsun Redi-GO 2017 Car Malabe Rs. 3,490,000 87490 (km) 2025-12-14",3490000
Hyundai Matrix 2002 Car,"Rs. 2,875,000",2002,,,,,https://riyasewana.com/buy/hyundai-matrix-sale-colombo-10894232,4,li,"Hyundai Matrix 2002 Car Colombo Rs. 2,875,000 89000 (km) 2025-12-14",2875000
Daihatsu Daihatsu 1992 Car,,1992,,,,,https://riyasewana.com/buy/daihatsu-daihatsu-sale-balangoda-10894231,4,li,Daihatsu Daihatsu 1992 Car Balangoda Negotiable 2025-12-14,0
Toyota Axio G Grade 2010 Car,"Rs. 7,250,000",2010,,,,,https://riyasewana.com/buy/toyota-axio-g-sale-kandy-10894228,4,li,"Toyota Axio G Grade 2010 Car Kandy Rs. 7,250,000 280000 (km) 2025-12-14",7250000
Toyota YARIS X GRADE 2024 Car,"Rs. 9,625,000",2024,,,,,https://riyasewana.com/buy/toyota-yaris-x-sale-kaduwela-10876740,5,li,"Toyota YARIS X GRADE 2024 Car Kaduwela Rs. 9,625,000 3500 (km) 2025-12-11",9625000
