Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,BMW,523I M5 KITTED STAGE 1 REMAPPED,2010,"Rs. 16,900,000",100000,Colombo,2026-02-19,https://riyasewana.com/buy/bmw-523i-m5-sale-colombo-11228609
Car,Perodua,Axia,2015,"Rs. 5,350,000",149,Kalawana,2026-02-24,https://riyasewana.com/buy/perodua-axia-sale-kalawana-11254615
Car,Toyota,Passo,2008,"Rs. 4,600,000",120000,Kandana,2026-02-25,https://riyasewana.com/buy/toyota-passo-sale-kandana-11259653
SUV,Mitsubishi,Eclipse Cross,2018,"Rs. 13,285,000",80000,Malabe,2026-02-16,https://riyasewana.com/buy/mitsubishi-eclipse-cross-sale-malabe-11217406
Car,Perodua,Viva Elite Premium,2010,"Rs. 4,350,000",128000,Minuwangoda,2026-02-25,https://riyasewana.com/buy/perodua-viva-elite-sale-minuwangoda-11260134
Motorbike,TVS,Metro,2015,"Rs. 245,000",52,Gampola,2026-02-25,https://riyasewana.com/buy/tvs-metro-sale-gampola-11260133
Motorbike,Honda,Dio,2018,"Rs. 518,500",53000,Matara,2026-02-25,https://riyasewana.com/buy/honda-dio-sale-matara-11260132
Motorbike,Hero,Pleasure,2013,"Rs. 298,000",39785,Ja-Ela,2026-02-25,https://riyasewana.com/buy/hero-pleasure-sale-ja-ela-11260131
Motorbike,Honda,MD 90,1989,Negotiable,69000,Puttalam,2026-02-25,https://riyasewana.com/buy/honda-md-90-sale-puttalam-11260130
Car,Toyota,Premio,2018,Negotiable,105000,Matara,2026-02-25,https://riyasewana.com/buy/toyota-premio-sale-matara-11260129
Motorbike,Hero-Honda,CD100,2007,Rs. 135,,Ragama,2026-02-25,https://riyasewana.com/buy/hero-honda-cd100-sale-ragama-11260128
Van,Nissan,CLIPPER SAFETYED,2016,"Rs. 5,490,000",130000,Colombo,2026-02-25,https://riyasewana.com/buy/nissan-clipper-safetyed-sale-colombo-11260127
Three Wheel,Bajaj,RE 205,2018,"Rs. 1,545,000",60000,Colombo,2026-02-25,https://riyasewana.com/buy/bajaj-re-205-sale-colombo-11260126
Car,Nissan,Sunny AD Wagon,1985,"Rs. 725,000",45252,Minuwangoda,2026-02-25,https://riyasewana.com/buy/nissan-sunny-ad-sale-minuwangoda-11260125
Three Wheel,Bajaj,2 Stroke,2006,"Rs. 790,000",80403,Kalmunai,2026-02-25,https://riyasewana.com/buy/bajaj-2-stroke-sale-kalmunai-11260124
SUV,Zotye,Nomad 2,2011,Negotiable,140000,Colombo,2026-02-25,https://riyasewana.com/buy/zotye-nomad-2-sale-colombo-11260123
Car,Toyota,Vitz,2014,"Rs. 6,275,000",97000,Maharagama,2026-02-25,https://riyasewana.com/buy/toyota-vitz-sale-maharagama-11260122
SUV,Toyota,6 Fowred,2015,Negotiable,120000,Colombo,2026-02-25,https://riyasewana.com/buy/toyota-6-fowred-sale-colombo-11260121
